iter	Passed	Remaining
0	69	45995
1	118	39312
2	194	42750
3	254	42006
4	325	42881
5	389	42676
6	450	42260
7	533	43745
8	624	45450
9	706	46231
10	772	45887
11	830	45134
12	885	44359
13	960	44574
14	1019	44094
15	1083	43878
16	1153	43918
17	1223	43901
18	1277	43360
19	1329	42802
20	1378	42212
21	1430	41744
22	1499	41793
23	1539	41054
24	1597	40834
25	1670	40998
26	1731	40852
27	1803	40965
28	1855	40639
29	1899	40148
30	1955	39920
31	1997	39448
32	2068	39560
33	2133	39524
34	2186	39296
35	2241	39095
36	2298	38948
37	2350	38723
38	2402	38496
39	2472	38563
40	2542	38641
41	2601	38528
42	2654	38338
43	2709	38183
44	2758	37948
45	2795	37554
46	2857	37507
47	2923	37514
48	2982	37435
49	3030	37209
50	3083	37066
51	3140	36962
52	3185	36727
53	3241	36620
54	3308	36638
55	3370	36591
56	3420	36423
57	3480	36367
58	3556	36470
59	3608	36325
60	3655	36132
61	3719	36110
62	3766	35927
63	3829	35899
64	3889	35842
65	3945	35744
66	4030	35913
67	4087	35828
68	4178	36027
69	4256	36117
70	4310	35998
71	4370	35936
72	4423	35814
73	4464	35597
74	4519	35495
75	4574	35393
76	4631	35309
77	4700	35312
78	4758	35236
79	4810	35116
80	4868	35038
81	4947	35115
82	5011	35080
83	5073	35031
84	5123	34901
85	5204	34981
86	5272	34966
87	5332	34906
88	5396	34864
89	5459	34820
90	5528	34810
91	5604	34847
92	5651	34697
93	5714	34651
94	5777	34605
95	5849	34608
96	5920	34606
97	5980	34538
98	6057	34569
99	6109	34454
100	6164	34360
101	6205	34191
102	6260	34099
103	6317	34015
104	6380	33967
105	6439	33896
106	6488	33775
107	6566	33803
108	6617	33692
109	6669	33587
110	6739	33575
111	6828	33654
112	6890	33597
113	6979	33674
114	7053	33670
115	7134	33702
116	7210	33709
117	7271	33648
118	7341	33622
119	7420	33640
120	7502	33666
121	7560	33587
122	7632	33568
123	7694	33507
124	7756	33445
125	7809	33347
126	7872	33286
127	7936	33234
128	7990	33137
129	8071	33155
130	8131	33082
131	8210	33092
132	8274	33037
133	8354	33043
134	8425	33015
135	8524	33096
136	8602	33089
137	8677	33075
138	8755	33070
139	8827	33040
140	8885	32956
141	8957	32928
142	9035	32917
143	9086	32813
144	9161	32793
145	9233	32758
146	9309	32740
147	9375	32688
148	9435	32614
149	9484	32499
150	9533	32389
151	9608	32367
152	9669	32295
153	9745	32272
154	9815	32231
155	9896	32228
156	9964	32179
157	10031	32127
158	10120	32144
159	10175	32053
160	10254	32036
161	10320	31980
162	10376	31894
163	10450	31861
164	10510	31786
165	10576	31730
166	10661	31730
167	10733	31688
168	10809	31661
169	10872	31595
170	10962	31605
171	11046	31597
172	11117	31554
173	11184	31496
174	11251	31438
175	11334	31426
176	11404	31377
177	11467	31309
178	11548	31290
179	11615	31231
180	11703	31230
181	11785	31212
182	11839	31118
183	11909	31068
184	11967	30985
185	12049	30967
186	12121	30918
187	12194	30874
188	12264	30824
189	12337	30778
190	12401	30710
191	12478	30677
192	12543	30611
193	12618	30571
194	12679	30495
195	12732	30401
196	12794	30330
197	12879	30313
198	12941	30240
199	13018	30202
200	13073	30114
201	13137	30046
202	13207	29992
203	13276	29937
204	13339	29867
205	13429	29857
206	13497	29798
207	13559	29726
208	13614	29640
209	13678	29571
210	13759	29539
211	13857	29545
212	13927	29489
213	13998	29436
214	14071	29387
215	14135	29318
216	14196	29244
217	14268	29191
218	14343	29145
219	14402	29067
220	14463	28992
221	14518	28906
222	14585	28844
223	14643	28763
224	14702	28686
225	14763	28612
226	14832	28553
227	14903	28499
228	14975	28447
229	15031	28364
230	15087	28280
231	15153	28216
232	15215	28145
233	15270	28061
234	15314	27957
235	15379	27891
236	15456	27847
237	15544	27822
238	15608	27755
239	15647	27644
240	15689	27537
241	15733	27436
242	15808	27388
243	15880	27335
244	15961	27296
245	16029	27237
246	16082	27150
247	16158	27103
248	16226	27044
249	16290	26977
