iter	Passed	Remaining
0	15	7709
1	65	16364
2	87	14546
3	121	15056
4	185	18340
5	223	18367
6	246	17391
7	271	16693
8	422	23024
9	555	27228
10	619	27540
11	650	26454
12	798	29899
13	954	33142
14	1116	36098
15	1140	34511
16	1161	33011
17	1305	34955
18	1437	36386
19	1561	37482
20	1732	39524
21	1876	40772
22	2020	41897
23	2069	41047
24	2234	42451
25	2277	41525
26	2410	42233
27	2438	41104
28	2487	40401
29	2623	41106
30	2756	41695
31	2922	42747
32	2961	41914
33	3122	42797
34	3254	43242
35	3402	43856
36	3422	42833
37	3456	42025
38	3595	42502
39	3749	43122
40	3899	43655
41	4041	44073
42	4192	44559
43	4353	45117
44	4510	45604
45	4668	46072
46	4815	46409
47	4952	46635
48	4989	45924
49	5141	46277
50	5281	46497
51	5299	45653
52	5437	45860
53	5592	46192
54	5736	46410
55	5892	46716
56	6034	46901
57	6183	47122
58	6320	47239
59	6466	47423
60	6610	47575
61	6763	47781
62	6902	47878
63	7034	47925
64	7182	48069
65	7338	48258
66	7488	48399
67	7626	48448
68	7784	48621
69	7925	48686
70	8068	48751
71	8217	48847
72	8353	48860
73	8496	48914
74	8643	48979
75	8781	48990
76	8938	49101
77	9092	49192
78	9238	49230
79	9379	49241
80	9517	49234
81	9663	49261
82	9815	49311
83	9958	49318
84	10094	49283
85	10243	49313
86	10412	49427
87	10567	49474
88	10702	49422
89	10851	49434
90	10989	49391
91	11138	49398
92	11298	49446
93	11438	49405
94	11566	49311
95	11716	49306
96	11869	49312
97	12001	49232
98	12141	49180
99	12291	49167
100	12425	49086
101	12557	48997
102	12709	48988
103	12860	48970
104	13000	48907
105	13160	48917
106	13307	48878
107	13459	48853
108	13608	48814
109	13756	48773
110	13915	48767
111	14048	48669
112	14219	48697
113	14367	48646
114	14527	48635
115	14682	48603
116	14828	48540
117	14978	48489
118	15117	48401
119	15278	48380
120	15433	48342
121	15580	48274
122	15725	48199
123	15865	48108
124	16010	48030
125	16157	47961
126	16305	47889
127	16461	47840
128	16613	47779
129	16769	47727
130	16924	47672
131	17092	47652
132	17260	47629
133	17448	47657
134	17591	47562
135	17738	47475
136	17887	47396
137	18047	47341
138	18191	47245
139	18335	47148
140	18468	47023
141	18615	46931
142	18766	46851
143	18922	46781
144	19064	46675
145	19206	46569
146	19351	46471
147	19505	46392
148	19650	46289
149	19797	46194
150	19949	46108
151	20093	46003
152	20243	45911
153	20400	45835
154	20550	45740
155	20697	45641
156	20836	45522
157	20988	45430
158	21152	45364
159	21300	45262
160	21455	45176
161	21631	45131
162	21777	45025
163	21926	44922
164	22079	44827
165	22226	44721
166	22378	44622
167	22538	44540
168	22694	44448
169	22835	44328
170	23006	44263
171	23157	44160
172	23317	44074
173	23457	43949
174	23608	43845
175	23742	43708
176	23873	43564
177	24028	43467
178	24185	43372
179	24341	43274
180	24497	43174
181	24656	43081
182	24816	42988
183	24959	42865
184	25112	42759
185	25269	42659
186	25415	42540
187	25540	42386
188	25667	42235
189	25819	42126
190	25954	41989
191	26117	41897
192	26259	41769
193	26398	41638
194	26542	41515
195	26682	41385
196	26830	41267
197	26990	41166
198	27130	41035
199	27261	40892
200	27418	40786
201	27573	40678
202	27709	40540
203	27844	40402
204	27992	40282
205	28144	40167
206	28280	40030
207	28420	39897
208	28569	39778
209	28712	39650
210	28875	39550
211	29019	39423
212	29159	39290
213	29307	39167
214	29467	39062
215	29623	38949
216	29772	38827
217	29922	38707
218	30059	38569
219	30214	38455
220	30378	38351
221	30523	38222
222	30689	38120
223	30838	37996
224	30992	37880
225	31153	37770
226	31293	37634
227	31461	37532
228	31597	37392
229	31754	37277
230	31916	37167
231	32075	37052
232	32236	36940
233	32389	36818
234	32549	36704
235	32697	36576
236	32844	36447
237	32988	36315
238	33144	36195
239	33292	36067
240	33424	35921
241	33581	35801
242	33736	35680
243	33885	35552
244	34027	35416
245	34168	35279
246	34331	35165
247	34482	35038
248	34641	34919
249	34785	34785
250	34946	34668
251	35126	34568
252	35279	34442
253	35440	34324
254	35598	34202
255	35741	34066
256	35905	33949
257	36054	33818
258	36221	33704
259	36373	33575
260	36529	33450
261	36688	33328
262	36853	33210
263	37019	33093
264	37172	32964
265	37309	32820
266	37470	32698
267	37639	32583
268	37790	32452
269	37953	32330
270	38104	32199
271	38244	32057
272	38423	31949
273	38588	31828
274	38731	31689
275	38888	31561
276	39056	31442
277	39212	31313
278	39388	31199
279	39544	31070
280	39705	30945
281	39863	30816
282	40016	30683
283	40166	30549
284	40322	30418
285	40465	30278
286	40622	30148
287	40785	30022
288	40950	29898
289	41123	29779
290	41286	29652
291	41446	29523
292	41602	29391
